system_id,case_id,category,repetition,status,predicted_intent,actions,retrieved_product_ids,selected_product_id,error_codes,provenance_count,agent_attempts,agent_failures,latency_ms,token_usage,llm_cost_usd
multi_agent_offline,simple_01_nova_search,simple,0,success,product.search,product.search,1,,,1,1,0,9.776400,,
multi_agent_offline,simple_01_nova_search,simple,1,success,product.search,product.search,1,,,1,1,0,2.215800,,
multi_agent_offline,simple_01_nova_search,simple,2,success,product.search,product.search,1,,,1,1,0,1.579100,,
multi_agent_offline,simple_02_voltpro_search,simple,0,success,product.search,product.search,26,,,1,1,0,1.448000,,
multi_agent_offline,simple_02_voltpro_search,simple,1,success,product.search,product.search,26,,,1,1,0,1.426000,,
multi_agent_offline,simple_02_voltpro_search,simple,2,success,product.search,product.search,26,,,1,1,0,1.411200,,
multi_agent_offline,simple_03_sunglow_search,simple,0,success,product.search,product.search,16,,,1,1,0,1.782000,,
multi_agent_offline,simple_03_sunglow_search,simple,1,success,product.search,product.search,16,,,1,1,0,2.036100,,
multi_agent_offline,simple_03_sunglow_search,simple,2,success,product.search,product.search,16,,,1,1,0,1.943700,,
multi_agent_offline,simple_04_review_by_id,simple,0,success,review.summary,review.summarize,1,,,1,1,0,6.423900,,
multi_agent_offline,simple_04_review_by_id,simple,1,success,review.summary,review.summarize,1,,,1,1,0,2.118900,,
multi_agent_offline,simple_04_review_by_id,simple,2,success,review.summary,review.summarize,1,,,1,1,0,2.172900,,
multi_agent_offline,complex_01_compare_headphones,complex,0,success,product.compare,product.search|product.search|product.compare,1|2,,,1,3,0,9.108600,,
multi_agent_offline,complex_01_compare_headphones,complex,1,success,product.compare,product.search|product.search|product.compare,1|2,,,1,3,0,5.025400,,
multi_agent_offline,complex_01_compare_headphones,complex,2,success,product.compare,product.search|product.search|product.compare,1|2,,,1,3,0,4.383700,,
multi_agent_offline,complex_02_compare_laptops,complex,0,success,product.compare,product.search|product.search|product.compare,11|13,,,1,3,0,4.327900,,
multi_agent_offline,complex_02_compare_laptops,complex,1,success,product.compare,product.search|product.search|product.compare,11|13,,,1,3,0,4.235800,,
multi_agent_offline,complex_02_compare_laptops,complex,2,success,product.compare,product.search|product.search|product.compare,11|13,,,1,3,0,3.629000,,
multi_agent_offline,complex_03_rank_laptops,complex,0,success,product.rank,product.rank,11|13,,,1,1,0,5.022400,,
multi_agent_offline,complex_03_rank_laptops,complex,1,success,product.rank,product.rank,11|13,,,1,1,0,2.176000,,
multi_agent_offline,complex_03_rank_laptops,complex,2,success,product.rank,product.rank,11|13,,,1,1,0,1.632800,,
multi_agent_offline,complex_04_market_headphones,complex,0,success,market.analyze,market.analyze,,,,2,1,0,5.955400,,
multi_agent_offline,complex_04_market_headphones,complex,1,success,market.analyze,market.analyze,,,,2,1,0,2.948400,,
multi_agent_offline,complex_04_market_headphones,complex,2,success,market.analyze,market.analyze,,,,2,1,0,2.276400,,
multi_agent_offline,multi_domain_01_headphones,multi_domain,0,success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,,2,3,0,26.193500,,
multi_agent_offline,multi_domain_01_headphones,multi_domain,1,success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,,2,3,0,23.318600,,
multi_agent_offline,multi_domain_01_headphones,multi_domain,2,success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,,2,3,0,19.277800,,
multi_agent_offline,multi_domain_02_phones,multi_domain,0,success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,,2,3,0,14.959000,,
multi_agent_offline,multi_domain_02_phones,multi_domain,1,success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,,2,3,0,10.776600,,
multi_agent_offline,multi_domain_02_phones,multi_domain,2,success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,,2,3,0,9.856500,,
multi_agent_offline,multi_domain_03_laptops,multi_domain,0,success,multi.recommendation,product.rank|review.compare|trust.compare,11|13|15,13,,2,3,0,16.511600,,
multi_agent_offline,multi_domain_03_laptops,multi_domain,1,success,multi.recommendation,product.rank|review.compare|trust.compare,11|13|15,13,,2,3,0,15.420500,,
multi_agent_offline,multi_domain_03_laptops,multi_domain,2,success,multi.recommendation,product.rank|review.compare|trust.compare,11|13|15,13,,2,3,0,15.345500,,
multi_agent_offline,multi_domain_04_accessories,multi_domain,0,success,multi.recommendation,product.rank|review.compare|trust.compare,26|28|29|30,26,,2,3,0,20.510900,,
multi_agent_offline,multi_domain_04_accessories,multi_domain,1,success,multi.recommendation,product.rank|review.compare|trust.compare,26|28|29|30,26,,2,3,0,21.543500,,
multi_agent_offline,multi_domain_04_accessories,multi_domain,2,success,multi.recommendation,product.rank|review.compare|trust.compare,26|28|29|30,26,,2,3,0,19.438700,,
multi_agent_offline,missing_data_01_review,missing_data,0,partial_success,review.summary,product.search|review.summarize,,,orchestrator.missing_dependency_data,1,2,1,2.042200,,
multi_agent_offline,missing_data_01_review,missing_data,1,partial_success,review.summary,product.search|review.summarize,,,orchestrator.missing_dependency_data,1,2,1,2.272200,,
multi_agent_offline,missing_data_01_review,missing_data,2,partial_success,review.summary,product.search|review.summarize,,,orchestrator.missing_dependency_data,1,2,1,1.846900,,
multi_agent_offline,missing_data_02_complaint,missing_data,0,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.926900,,
multi_agent_offline,missing_data_02_complaint,missing_data,1,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.767700,,
multi_agent_offline,missing_data_02_complaint,missing_data,2,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.679200,,
multi_agent_offline,missing_data_03_compare,missing_data,0,partial_success,product.compare,product.search|product.search|product.compare,1,,orchestrator.missing_dependency_data,1,3,1,3.515400,,
multi_agent_offline,missing_data_03_compare,missing_data,1,partial_success,product.compare,product.search|product.search|product.compare,1,,orchestrator.missing_dependency_data,1,3,1,4.249700,,
multi_agent_offline,missing_data_03_compare,missing_data,2,partial_success,product.compare,product.search|product.search|product.compare,1,,orchestrator.missing_dependency_data,1,3,1,3.174700,,
multi_agent_offline,missing_data_04_filter,missing_data,0,success,product.search,product.search,,,,1,1,0,1.520400,,
multi_agent_offline,missing_data_04_filter,missing_data,1,success,product.search,product.search,,,,1,1,0,1.371100,,
multi_agent_offline,missing_data_04_filter,missing_data,2,success,product.search,product.search,,,,1,1,0,1.435700,,
multi_agent_offline,tool_failure_01_trust,tool_failure,0,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,trust.eval_injected,2,3,1,11.235000,,
multi_agent_offline,tool_failure_01_trust,tool_failure,1,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,trust.eval_injected,2,3,1,10.448000,,
multi_agent_offline,tool_failure_01_trust,tool_failure,2,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,5|2|1|4,2,trust.eval_injected,2,3,1,9.241900,,
multi_agent_offline,tool_failure_02_review,tool_failure,0,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,review.eval_injected,2,3,1,5.504000,,
multi_agent_offline,tool_failure_02_review,tool_failure,1,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,review.eval_injected,2,3,1,5.824900,,
multi_agent_offline,tool_failure_02_review,tool_failure,2,partial_success,multi.recommendation,product.rank|review.compare|trust.compare,7|6,6,review.eval_injected,2,3,1,5.665800,,
multi_agent_offline,tool_failure_03_review_summary,tool_failure,0,partial_success,review.summary,product.search|review.summarize,1,,review.eval_injected,1,2,1,1.947300,,
multi_agent_offline,tool_failure_03_review_summary,tool_failure,1,partial_success,review.summary,product.search|review.summarize,1,,review.eval_injected,1,2,1,1.676200,,
multi_agent_offline,tool_failure_03_review_summary,tool_failure,2,partial_success,review.summary,product.search|review.summarize,1,,review.eval_injected,1,2,1,1.651300,,
multi_agent_offline,tool_failure_04_product,tool_failure,0,failed,product.search,product.search,,,product.eval_injected,0,1,1,0.294200,,
multi_agent_offline,tool_failure_04_product,tool_failure,1,failed,product.search,product.search,,,product.eval_injected,0,1,1,0.282300,,
multi_agent_offline,tool_failure_04_product,tool_failure,2,failed,product.search,product.search,,,product.eval_injected,0,1,1,0.275900,,
multi_agent_offline,ambiguous_01_product,ambiguous,0,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,4.850300,,
multi_agent_offline,ambiguous_01_product,ambiguous,1,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,1.763400,,
multi_agent_offline,ambiguous_01_product,ambiguous,2,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,2.148000,,
multi_agent_offline,ambiguous_02_price,ambiguous,0,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,1.854000,,
multi_agent_offline,ambiguous_02_price,ambiguous,1,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,1.741400,,
multi_agent_offline,ambiguous_02_price,ambiguous,2,success,product.search,product.search,16|11|26|1|21|14|17|25|6|3,,,1,1,0,1.613000,,
multi_agent_offline,ambiguous_03_best,ambiguous,0,success,product.rank,product.rank,16|26|17|1|25|21|3|6|11|14,,,1,1,0,1.977300,,
multi_agent_offline,ambiguous_03_best,ambiguous,1,success,product.rank,product.rank,16|26|17|1|25|21|3|6|11|14,,,1,1,0,2.080900,,
multi_agent_offline,ambiguous_03_best,ambiguous,2,success,product.rank,product.rank,16|26|17|1|25|21|3|6|11|14,,,1,1,0,2.304600,,
multi_agent_offline,ambiguous_04_complaint,ambiguous,0,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.639100,,
multi_agent_offline,ambiguous_04_complaint,ambiguous,1,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.674600,,
multi_agent_offline,ambiguous_04_complaint,ambiguous,2,partial_success,trust.complaints,product.search|trust.complaints,,,orchestrator.missing_dependency_data,1,2,1,1.611900,,
multi_agent_offline,irrelevant_01_poem,irrelevant,0,success,general.unsupported,,,,,0,0,0,0.189000,,
multi_agent_offline,irrelevant_01_poem,irrelevant,1,success,general.unsupported,,,,,0,0,0,0.160300,,
multi_agent_offline,irrelevant_01_poem,irrelevant,2,success,general.unsupported,,,,,0,0,0,0.153600,,
multi_agent_offline,irrelevant_02_weather,irrelevant,0,success,general.unsupported,,,,,0,0,0,0.152800,,
multi_agent_offline,irrelevant_02_weather,irrelevant,1,success,general.unsupported,,,,,0,0,0,0.153400,,
multi_agent_offline,irrelevant_02_weather,irrelevant,2,success,general.unsupported,,,,,0,0,0,0.149400,,
multi_agent_offline,irrelevant_03_algebra,irrelevant,0,success,general.unsupported,,,,,0,0,0,0.154700,,
multi_agent_offline,irrelevant_03_algebra,irrelevant,1,success,general.unsupported,,,,,0,0,0,0.174100,,
multi_agent_offline,irrelevant_03_algebra,irrelevant,2,success,general.unsupported,,,,,0,0,0,0.173100,,
multi_agent_offline,irrelevant_04_translation,irrelevant,0,success,general.unsupported,,,,,0,0,0,0.155800,,
multi_agent_offline,irrelevant_04_translation,irrelevant,1,success,general.unsupported,,,,,0,0,0,0.162400,,
multi_agent_offline,irrelevant_04_translation,irrelevant,2,success,general.unsupported,,,,,0,0,0,0.155400,,
